id,main,description,icon,base,visibility,dt,timezone,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,filler_0,filler_1,filler_2,main.sea_level,main.grnd_level,wind.gust,snow.1h,message,filler_3,filler_4,filler_5,filler_6,filler_7,filler_8,filler_9,filler_10,filler_11,filler_12,filler_13,filler_14,filler_15,filler_16,filler_17,filler_18,filler_19,filler_20,filler_21,filler_22,filler_23,filler_24,filler_25,filler_26,rain.1h
0,802.0,Clouds,scattered clouds,03d,stations,10000.0,1608737769.0,-10800.0,Belmonte,200,-38.88,-15.86,-304.87,302.2,86.0,86.0,1012.0,58.0,7.2,60.0,40.0,1.0,8422.0,BR,1608710561.0,1608757611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,803.0,Clouds,broken clouds,04n,stations,10000.0,1608737719.0,-36000.0,Hilo,200,-155.09,19.73,-340.8663999999998,291.76,64.00400000000005,68.0,1017.0,82.0,3.1,230.0,75.0,1.0,7881.0,US,1608742297.0,1608781674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803.0,Clouds,broken clouds,04n,stations,10000.0,1608737770.0,3600.0,Honningsvåg,200,25.97,70.98,-392.3499999999999,267.91,37.4,37.4,1006.0,74.0,8.7,150.0,75.0,1.0,1638.0,NO,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,802.0,Clouds,scattered clouds,03d,stations,10000.0,1608737770.0,-3600.0,Lagoa,200,-27.98,39.05,-357.7467999999999,279.05,56.62400000000001,56.62400000000001,1033.0,67.0,10.34,62.0,41.0,,,PT,1608714511.0,1608748428.0,,,,1033.0,1028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,801.0,Clouds,few clouds,02n,stations,9000.0,1608737770.0,28800.0,George Town,200,100.34,5.41,-317.02,303.25,78.00800000000001,80.6,1008.0,83.0,2.1,360.0,20.0,1.0,9429.0,MY,1608679408.0,1608721916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,602.0,Snow,heavy snow,13d,stations,402.0,1608737718.0,-21600.0,Pierre,200,-100.35,44.37,-431.0356,249.11,15.8,15.998000000000026,1013.0,78.0,17.0,330.0,90.0,1.0,5361.0,US,1608732928.0,1608764759.0,,,,,,26.7,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
6,802.0,Clouds,scattered clouds,03d,stations,10000.0,1608737771.0,-18000.0,Albany,200,-73.97,42.6,-403.20399999999984,268.83,30.002000000000077,32.0,1025.0,59.0,1.61,124.0,27.0,3.0,19530.0,US,1608726225.0,1608758796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,804.0,Clouds,overcast clouds,04n,stations,6237.0,1608737771.0,36000.0,Ust-Nera,200,143.2,64.57,-512.3595999999999,233.61,-29.271999999999935,-29.271999999999935,1018.0,75.0,2.27,35.0,100.0,,,RU,1608769827.0,1608783776.0,,,,1018.0,951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,804.0,Clouds,overcast clouds,04n,stations,4665.0,1608737771.0,32400.0,Saskylakh,200,114.08,71.92,-503.8059999999999,236.08,-24.51999999999996,-24.51999999999996,1026.0,86.0,2.57,19.0,100.0,,,RU,0.0,0.0,,,,1026.0,1025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,800.0,Clear,clear sky,01n,stations,10000.0,1608737771.0,-36000.0,Kapaa,200,-159.32,22.08,-340.51,291.66,66.2,66.2,1016.0,93.0,4.6,280.0,1.0,1.0,7873.0,US,1608743592.0,1608782410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,802.0,Clouds,scattered clouds,03d,stations,10000.0,1608737771.0,-36000.0,Faanui,200,-151.75,-16.48,-315.23799999999994,301.38,80.24000000000002,80.24000000000002,1011.0,76.0,4.83,292.0,32.0,,,PF,1608737588.0,1608784779.0,,,,1011.0,1002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,800.0,Clear,clear sky,01d,stations,10000.0,1608737771.0,0.0,Tessalit,200,1.01,20.2,-316.8579999999999,293.04,79.34000000000002,79.34000000000002,1013.0,16.0,6.01,90.0,0.0,,,ML,1608704877.0,1608744142.0,,,,1013.0,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,,,
13,803.0,Clouds,broken clouds,04n,stations,10000.0,1608737772.0,43200.0,Butaritari,200,172.79,3.07,-313.7151999999998,299.89,81.08600000000007,81.08600000000007,1007.0,77.0,8.15,115.0,69.0,,,KI,1608748199.0,1608791195.0,,,,1007.0,1006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,804.0,Clouds,overcast clouds,04d,stations,10000.0,1608737772.0,3600.0,Saint-François,200,3.91,46.42,-358.52439999999996,284.37,55.004000000000055,57.2,1016.0,71.0,2.6,220.0,90.0,1.0,6499.0,FR,1608708362.0,1608739264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,800.0,Clear,clear sky,01d,stations,10000.0,1608737772.0,0.0,Zwedru,200,-8.13,6.07,-298.3575999999998,306.46,89.61800000000008,89.61800000000008,1009.0,39.0,1.15,84.0,8.0,,,LR,1608705519.0,1608747888.0,,,,1009.0,985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,521.0,Rain,shower rain,09n,stations,10000.0,1608737772.0,14400.0,Mahébourg,200,57.7,-20.41,-317.8299999999999,299.64,78.8,78.8,1012.0,83.0,6.7,130.0,75.0,1.0,2061.0,MU,1608686837.0,1608734961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,803.0,Clouds,broken clouds,04n,stations,10000.0,1608737772.0,39600.0,Hobart,200,147.33,-42.88,-367.1103999999999,279.72,50.0,53.6,1013.0,54.0,3.6,290.0,75.0,1.0,9545.0,AU,1608748193.0,1608803427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,804.0,Clouds,overcast clouds,04n,stations,10000.0,1608737773.0,46800.0,Bluff,200,168.33,-46.6,-362.4771999999999,285.65,53.99600000000005,53.99600000000005,994.0,98.0,0.45,164.0,97.0,3.0,2008959.0,NZ,1608742268.0,1608799268.0,,,,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,600.0,Snow,light snow,13n,stations,10000.0,1608737773.0,-18000.0,Clyde River,200,-68.59,70.47,-463.6299999999998,249.06,-2.199999999999946,-2.199999999999946,1000.0,84.0,2.1,240.0,40.0,1.0,776.0,CA,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,,,
21,803.0,Clouds,broken clouds,04d,stations,10000.0,1608737647.0,-10800.0,Touros,200,-35.46,-5.2,-304.87,301.09,86.0,86.0,1011.0,55.0,8.2,150.0,75.0,1.0,8452.0,BR,1608710904.0,1608755626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,800.0,Clear,clear sky,01d,stations,10000.0,1608737774.0,-18000.0,Jamestown,200,-79.24,42.1,-398.7651999999998,267.76,32.0,35.00600000000003,1021.0,89.0,6.2,180.0,1.0,1.0,4588.0,US,1608727390.0,1608760161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,802.0,Clouds,scattered clouds,03n,stations,10000.0,1608737538.0,36000.0,Port Moresby,200,147.18,-9.44,-324.31,301.15,75.2,75.2,1008.0,100.0,2.6,320.0,40.0,1.0,42.0,PG,1608753034.0,1608798657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,800.0,Clear,clear sky,01d,stations,10000.0,1608737774.0,-18000.0,Broome,200,-75.83,42.25,-404.3703999999999,267.92,28.4,33.008,1025.0,68.0,2.6,180.0,1.0,1.0,3429.0,US,1608726601.0,1608759313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,800.0,Clear,clear sky,01n,stations,10000.0,1608737704.0,7200.0,Kiryat Gat,200,34.76,31.61,-348.4156,290.3,59.0,64.00400000000005,1017.0,100.0,2.31,311.0,10.0,3.0,2002441.0,IL,1608698255.0,1608734558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,800.0,Clear,clear sky,01n,stations,10000.0,1608737774.0,19800.0,Darlawn,200,92.9,24.02,-367.82319999999976,283.09,51.02600000000009,51.02600000000009,1015.0,99.0,1.13,130.0,0.0,,,IN,1608683279.0,1608721618.0,,,,1015.0,917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,800.0,Clear,clear sky,01d,stations,10000.0,1608737774.0,-21600.0,Salina Cruz,200,-95.2,16.17,-309.27639999999985,301.83,83.55200000000008,83.55200000000008,1016.0,52.0,3.82,2.0,0.0,,,MX,1608727512.0,1608767703.0,,,,1016.0,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,804.0,Clouds,overcast clouds,04n,stations,10000.0,1608737774.0,3600.0,Monster,200,4.17,52.03,-362.4771999999999,284.93,53.99600000000005,53.99600000000005,1003.0,96.0,1.34,198.0,95.0,3.0,2035471.0,NL,1608709824.0,1608737677.0,,,,,,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,804.0,Clouds,overcast clouds,04n,stations,10000.0,1608737775.0,-14400.0,Qaanaaq,200,-69.36,77.48,-444.41679999999997,255.24,8.47400000000001,8.47400000000001,1005.0,86.0,2.1,9.0,100.0,,,GL,0.0,0.0,,,,1005.0,1005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,804.0,Clouds,overcast clouds,04n,stations,10000.0,1608737530.0,19800.0,Port Blair,200,92.75,11.67,-319.57959999999986,299.82,77.82800000000006,77.82800000000006,1011.0,76.0,4.19,45.0,100.0,,,IN,1608681894.0,1608723074.0,,,,1011.0,1011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,600.0,Snow,light snow,13n,stations,3700.0,1608737775.0,10800.0,Haradok,200.0,29.98,55.46,-408.90639999999985,265.83,28.004000000000055,28.4,1011.0,92.0,4.0,190.0,90.0,1.0,8932.0,BY,1608704832.0,1608730276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,701.0,Mist,mist,50n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,804.0,Clouds,overcast clouds,04n,stations,10000.0,1608737579.0,-36000.0,Avarua,200,-159.78,-21.21,-330.78999999999996,297.67,71.6,71.6,1009.0,83.0,1.0,190.0,100.0,1.0,7271.0,CK,1608738953.0,1608787271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,804.0,Clouds,overcast clouds,04n,stations,5041.0,1608737775.0,46800.0,Mataura,200,168.86,-46.19,-362.4771999999999,285.65,53.99600000000005,53.99600000000005,994.0,98.0,0.45,164.0,100.0,3.0,2008959.0,NZ,1608742245.0,1608799036.0,,,,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,802.0,Clouds,scattered clouds,03n,stations,10000.0,1608737775.0,18000.0,Hithadhoo,200,73.08,-0.6,-311.8035999999999,301.14,82.14800000000002,82.14800000000002,1011.0,73.0,6.96,283.0,33.0,,,MV,1608685327.0,1608729086.0,,,,1011.0,1011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,801.0,Clouds,few clouds,02n,stations,10000.0,1608737611.0,28800.0,Busselton,200,115.33,-33.65,-324.24519999999984,296.81,73.99400000000007,75.99199999999999,1011.0,53.0,2.24,84.0,22.0,3.0,2020551.0,AU,1608671166.0,1608722961.0,,,,,,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,803.0,Clouds,broken clouds,04n,stations,10000.0,1608737776.0,7200.0,Mariehamn,200,19.93,60.1,-389.10999999999996,272.77,39.2,39.2,1001.0,80.0,3.6,250.0,75.0,1.0,1347.0,AX,1608709458.0,1608730476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,804.0,Clouds,overcast clouds,04n,stations,7168.0,1608737776.0,32400.0,Manokwari,200,134.08,-0.87,-316.6635999999999,303.31,79.44800000000002,79.44800000000002,1007.0,81.0,1.93,266.0,100.0,,,ID,1608757083.0,1608800898.0,,,,1007.0,1006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,804.0,Clouds,overcast clouds,04d,stations,10000.0,1608737776.0,-25200.0,Guerrero Negro,200,-114.06,27.98,-349.71159999999986,287.49,61.088000000000044,61.088000000000044,1019.0,78.0,3.63,335.0,90.0,,,MX,1608733476.0,1608770794.0,,,,1019.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,803.0,Clouds,broken clouds,04d,stations,10000.0,1608737776.0,-10800.0,Arraial do Cabo,200,-42.03,-22.97,-317.8299999999999,301.26,78.8,78.8,1014.0,78.0,3.6,140.0,75.0,1.0,8326.0,BR,1608710462.0,1608759222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,800.0,Clear,clear sky,01n,stations,10000.0,1608737776.0,36000.0,Mnogovershinnyy,200,139.92,53.94,-496.6131999999999,238.71,-20.52399999999996,-20.52399999999996,1009.0,88.0,2.02,258.0,9.0,,,RU,1608764295.0,1608790882.0,,,,1009.0,956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,,,
43,500.0,Rain,light rain,10n,stations,10000.0,1608737777.0,46800.0,Vaini,200,-175.2,-21.2,-321.07,302.48,77.0,77.0,1009.0,94.0,2.1,320.0,20.0,1.0,7285.0,TO,1608829087.0,1608877398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
44,800.0,Clear,clear sky,01d,stations,10000.0,1608737777.0,-25200.0,Cabo San Lucas,200,-109.91,22.89,-352.88679999999994,285.04,57.2,60.8,1019.0,63.0,4.1,290.0,5.0,1.0,7151.0,MX,1608731829.0,1608770449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,800.0,Clear,clear sky,01d,stations,10000.0,1608737777.0,-32400.0,Rikitea,200,-134.97,-23.12,-322.07439999999997,299.49,76.442,76.442,1018.0,69.0,2.01,72.0,4.0,,,PF,1608732757.0,1608781554.0,,,,1018.0,1015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,,,
47,802.0,Clouds,scattered clouds,03n,stations,10000.0,1608737778.0,-32400.0,Barrow,200,-156.79,71.29,-470.10999999999984,243.75,-5.799999999999947,-5.799999999999947,994.0,76.0,6.7,90.0,40.0,1.0,7649.0,US,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,,,
49,701.0,Mist,mist,50n,stations,1800.0,1608737494.0,28800.0,Ürümqi,200,87.6,43.8,-463.6299999999998,249.83,-2.199999999999946,-2.199999999999946,1031.0,84.0,1.0,0.0,0.0,1.0,9677.0,CN,1608687685.0,1608719756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,600.0,Snow,light snow,13n,stations,2830.0,1608737779.0,39600.0,Severo-Kuril'sk,200,156.12,50.68,-424.9768,255.11,19.27400000000001,19.27400000000001,1001.0,89.0,11.46,282.0,96.0,,,RU,1608759361.0,1608788038.0,,,,1001.0,999.0,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
51,801.0,Clouds,few clouds,02n,stations,10000.0,1608737564.0,-25200.0,Yellowknife,200,-114.35,62.46,-483.06999999999994,240.36,-12.99999999999995,-12.99999999999995,1014.0,75.0,5.7,120.0,20.0,1.0,1007.0,CA,1608743279.0,1608761131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
